book_id,book_name,author,publisher,release_dt,book_price,division,book_img
76,주술회전 27 트리플 특장판,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),2024-08-29,6000,B014,https://image.aladin.co.kr/product/34584/89/cover200/k042933479_1.jpg
77,퍼스널 MBA,"조쉬 카우프만 지음, 박상진.이상호 옮김",진성북스,2024-01-25,35500,B004,https://image.aladin.co.kr/product/33275/70/cover200/8997743600_1.jpg
78,패밀리 레스토랑 가자. 上,"와야마 야마 지음, 현승희 옮김",문학동네,2024-04-01,8500,B014,https://image.aladin.co.kr/product/33705/44/cover200/8954698727_1.jpg
79,사피엔스,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,2023-04-01,26800,B010,https://image.aladin.co.kr/product/31424/4/cover200/k482832219_1.jpg
80,나는 나의 스무 살을 가장 존중한다,이하영 지음,토네이도,2024-02-28,18000,B005,https://image.aladin.co.kr/product/33372/60/cover200/k952938310_2.jpg
81,부모의 어휘력,김종원 지음,카시오페아,2024-06-17,19000,B008,https://image.aladin.co.kr/product/34112/12/cover200/k662931384_2.jpg
82,대온실 수리 보고서,김금희 지음,창비,2024-10-04,18000,B001,https://image.aladin.co.kr/product/34712/24/cover200/8936439650_2.jpg
83,총 균 쇠,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,2023-05-10,29800,B010,https://image.aladin.co.kr/product/31629/43/cover200/8934942460_1.jpg
84,아주 희미한 빛으로도,최은영 지음,문학동네,2023-08-07,16800,B001,https://image.aladin.co.kr/product/32129/40/cover200/s672937436_1.jpg
85,사피엔스 : 그래픽 히스토리 Vol.1,"다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색",김영사,2020-11-23,17800,B010,https://image.aladin.co.kr/product/25686/5/cover200/8934991321_1.jpg
86,쇼펜하우어 인생수업 (리커버 에디션),"아르투어 쇼펜하우어 지음, 김지민 엮음",하이스트,2024-02-20,17500,B010,https://image.aladin.co.kr/product/33464/3/cover200/k082938849_3.jpg
87,진짜 쓰는 실무 엑셀,오빠두(전진권) 지음,제이펍,2022-02-15,21000,B016,https://image.aladin.co.kr/product/28819/83/cover200/s292938843_1.jpg
88,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),"데일 카네기 지음, 임상훈 옮김",현대지성,2019-10-07,11500,B005,https://image.aladin.co.kr/product/20945/79/cover200/s652933016_2.jpg
89,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음,웨일북,2020-02-01,19000,B010,https://image.aladin.co.kr/product/22872/79/cover200/k992636841_3.jpg
90,해커스 토익 LC Listening(리스닝) 기본서,David Cho 지음,해커스어학연구소(Hackers),2023-07-24,18800,B002,https://image.aladin.co.kr/product/30640/55/cover200/s182931386_1.jpg
91,찬란한 멸종,이정모 지음,다산북스,2024-08-07,21000,B013,https://image.aladin.co.kr/product/34433/86/cover200/k472932124_2.jpg
92,"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선 지음,포레스트북스,2024-03-22,16800,B009,https://image.aladin.co.kr/product/33489/7/cover200/k772938352_3.jpg
93,원피스 108,오다 에이치로 지음,대원씨아이(만화),2024-05-29,5500,B014,https://image.aladin.co.kr/product/33988/86/cover200/k782930542_1.jpg
94,즐거운 어른,이옥선 지음,이야기장수,2024-08-26,16800,B009,https://image.aladin.co.kr/product/34560/43/cover200/k762933261_2.jpg
95,감정의 이해,"엠마 헵번 지음, 김나연 옮김",포레스트북스,2024-04-29,16800,B010,https://image.aladin.co.kr/product/33799/80/cover200/k052930572_1.jpg
96,딕테,"차학경 지음, 김경년 옮김",문학사상,2024-11-28,18000,B001,https://image.aladin.co.kr/product/34974/93/cover200/8970123105_2.jpg
97,죽음의 수용소에서,"빅터 프랭클 지음, 이시형 옮김",청아출판사,2020-05-30,9800,B010,https://image.aladin.co.kr/product/24212/1/cover200/8936811541_2.jpg
98,흔한남매 17,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,2024-09-11,15800,B015,https://image.aladin.co.kr/product/34618/90/cover200/k522933982_1.jpg
99,내가 한 말을 내가 오해하지 않기로 함,문상훈 지음,위너스북,2024-01-05,19800,B009,https://image.aladin.co.kr/product/33038/40/cover200/k562937688_1.jpg
100,던전밥 14,"쿠이 료코 지음, 김민재 옮김",㈜소미미디어,2024-05-03,7000,B014,https://image.aladin.co.kr/product/33818/43/cover200/k442930687_1.jpg
101,룩 백,후지모토 타츠키 지음,학산문화사(만화),2022-03-22,6000,B014,https://image.aladin.co.kr/product/29088/67/cover200/k932837765_1.jpg
102,세상은 이야기로 만들어졌다,"자미라 엘 우아실.프리데만 카릭 지음, 김현정 옮김",원더박스,2023-10-16,27000,B010,https://image.aladin.co.kr/product/32585/6/cover200/k632935343_1.jpg
103,우리 아기 오감발달 동물농장 사운드북,"샘 태플린 지음, 페데리카 아이오사 그림",어스본코리아,2018-04-11,19800,B012,https://image.aladin.co.kr/product/14223/27/cover200/k162532536_1.jpg
104,혼자일 수 없다면 나아갈 수 없다,"프리드리히 니체 지음, 김욱 편역",포레스트북스,2024-03-14,17500,B010,https://image.aladin.co.kr/product/33556/67/cover200/k472939677_1.jpg
105,하루 한 장 나의 어휘력을 위한 필사 노트 (컴포지션 에디션),유선경 지음,위즈덤하우스,2024-10-23,23800,B010,https://image.aladin.co.kr/product/35050/59/cover200/k262934180_2.jpg
106,나는 왜 남들보다 쉽게 지칠까,최재훈 지음,서스테인,2024-07-10,17800,B010,https://image.aladin.co.kr/product/34214/60/cover200/k482931035_1.jpg
